as_of,code,name,industry,eligible,scope_note
2024-07-01,600288,大恒科技,软件服务,true,fixed_research_basket_not_market_universe
2024-07-01,300568,星源材质,电池材料,true,fixed_research_basket_not_market_universe
2024-07-01,688106,金宏气体,工业气体,true,fixed_research_basket_not_market_universe
2024-07-01,002132,恒星科技,金属制品,true,fixed_research_basket_not_market_universe
2024-07-01,603638,艾迪精密,工程机械,true,fixed_research_basket_not_market_universe
2024-07-01,301282,金禄电子,电子元件,true,fixed_research_basket_not_market_universe
2024-07-01,600203,福日电子,消费电子,true,fixed_research_basket_not_market_universe
2024-07-01,300390,天华新能,新能源,true,fixed_research_basket_not_market_universe
2024-07-01,002830,名雕股份,装修装饰,true,fixed_research_basket_not_market_universe
2024-07-01,601199,江南水务,公用事业,true,fixed_research_basket_not_market_universe
2024-07-01,688584,上海合晶,半导体,true,fixed_research_basket_not_market_universe
2024-07-01,688130,晶华微,半导体,true,fixed_research_basket_not_market_universe
2024-07-01,300966,共同药业,医药制造,true,fixed_research_basket_not_market_universe
2024-07-01,603893,瑞芯微,半导体,true,fixed_research_basket_not_market_universe
2024-07-01,002077,大港股份,半导体,true,fixed_research_basket_not_market_universe
2024-07-01,600519,贵州茅台,白酒,true,fixed_research_basket_not_market_universe
2024-07-01,000858,五粮液,白酒,true,fixed_research_basket_not_market_universe
2024-07-01,601318,中国平安,保险,true,fixed_research_basket_not_market_universe
2024-07-01,600036,招商银行,银行,true,fixed_research_basket_not_market_universe
2024-07-01,000001,平安银行,银行,true,fixed_research_basket_not_market_universe
2024-07-01,600030,中信证券,证券,true,fixed_research_basket_not_market_universe
2024-07-01,601166,兴业银行,银行,true,fixed_research_basket_not_market_universe
2024-07-01,600887,伊利股份,乳业,true,fixed_research_basket_not_market_universe
2024-07-01,000333,美的集团,家用电器,true,fixed_research_basket_not_market_universe
2024-07-01,000651,格力电器,家用电器,true,fixed_research_basket_not_market_universe
2024-07-01,002594,比亚迪,汽车整车,true,fixed_research_basket_not_market_universe
2024-07-01,300750,宁德时代,电池,true,fixed_research_basket_not_market_universe
2024-07-01,601012,隆基绿能,光伏设备,true,fixed_research_basket_not_market_universe
2024-07-01,600276,恒瑞医药,化学制药,true,fixed_research_basket_not_market_universe
2024-07-01,000725,京东方A,显示面板,true,fixed_research_basket_not_market_universe
