date,all_symbols,eligible,evaluated,hard_pass,selected,capacity_rejected
2026-01-05,5247,1399,5203,371,5,293
2026-01-06,5247,1426,5204,370,0,369
2026-01-07,5247,1451,5205,298,0,296
2026-01-08,5247,1481,5204,300,0,300
2026-01-09,5247,1512,5203,364,1,345
2026-01-12,5247,1567,5203,346,0,346
2026-01-13,5247,1620,5196,219,2,150
2026-01-14,5247,1693,5198,374,0,370
2026-01-15,5247,1722,5200,334,2,94
2026-01-16,5247,1758,5202,376,1,314
2026-01-19,5247,1793,5203,423,1,371
2026-01-20,5247,1822,5209,295,0,0
2026-01-21,5247,1854,5206,440,0,0
2026-01-22,5247,1871,5206,450,2,0
2026-01-23,5247,1902,5207,669,1,568
2026-01-26,5247,1942,5203,329,0,327
2026-01-27,5247,1967,5203,470,0,0
2026-01-28,5247,1993,5202,381,3,79
2026-01-29,5247,2034,5202,318,1,0
2026-01-30,5247,2057,5199,329,1,225
2026-02-02,5247,2075,5201,187,1,0
2026-02-03,5247,2056,5201,547,2,288
2026-02-04,5247,2042,5204,402,0,400
2026-02-05,5247,2030,5203,238,1,0
2026-02-06,5247,2013,5201,304,0,0
2026-02-09,5247,1974,5201,465,3,390
2026-02-10,5247,1929,5203,329,1,296
2026-02-11,5247,1866,5202,315,1,10
2026-02-12,5247,1843,5206,460,1,457
2026-02-13,5247,1805,5204,276,0,276
2026-02-24,5247,1787,5204,490,0,489
2026-02-25,5247,1771,5201,606,3,501
2026-02-26,5247,1759,5200,526,0,524
2026-02-27,5247,1758,5200,541,0,541
2026-03-02,5247,1753,5198,367,0,367
2026-03-03,5247,1748,5199,182,0,182
2026-03-04,5247,1727,5200,288,0,0
2026-03-05,5247,1711,5201,336,4,162
2026-03-06,5247,1688,5201,349,0,348
2026-03-09,5247,1688,5204,343,0,341
2026-03-10,5247,1680,5202,444,0,444
2026-03-11,5247,1688,5205,378,1,366
2026-03-12,5247,1683,5205,319,1,301
2026-03-13,5247,1693,5204,263,0,262
2026-03-16,5247,1702,5203,303,1,282
2026-03-17,5247,1704,5201,163,1,0
2026-03-18,5247,1703,5201,322,0,0
2026-03-19,5247,1711,5201,193,2,0
2026-03-20,5247,1718,5202,184,1,0
2026-03-23,5247,1731,5204,0,0,0
2026-03-24,5247,1728,5202,295,0,0
2026-03-25,5247,1713,5201,311,3,0
2026-03-26,5247,1702,5200,171,0,0
2026-03-27,5247,1691,5196,235,2,106
2026-03-30,5247,1652,5193,229,2,145
2026-03-31,5247,1614,5196,105,0,105
2026-04-01,5247,1597,5198,198,0,0
2026-04-02,5247,1585,5198,138,2,36
2026-04-03,5247,1572,5199,0,0,0
2026-04-07,5247,1541,5197,0,0,0
2026-04-08,5247,1530,5201,314,3,275
2026-04-09,5247,1520,5202,188,0,187
2026-04-10,5247,1493,5203,181,0,181
2026-04-13,5247,1494,5201,213,1,206
2026-04-14,5247,1492,5203,206,2,102
2026-04-15,5247,1492,5201,156,1,118
2026-04-16,5247,1505,5202,211,1,173
2026-04-17,5247,1513,5200,181,0,180
2026-04-20,5247,1524,5195,216,1,167
2026-04-21,5247,1509,5198,204,0,203
2026-04-22,5247,1509,5197,260,0,256
2026-04-23,5247,1522,5195,166,2,110
2026-04-24,5247,1525,5193,204,0,0
2026-04-27,5247,1537,5192,229,4,178
2026-04-28,5247,1552,5184,191,0,190
2026-04-29,5247,1566,5158,254,0,253
2026-04-30,5247,1577,5157,215,2,202
2026-05-06,5247,1607,5186,374,0,374
2026-05-07,5247,1637,5188,358,1,63
2026-05-08,5247,1672,5186,248,0,246
2026-05-11,5247,1695,5184,297,1,264
2026-05-12,5247,1722,5183,203,1,160
2026-05-13,5247,1748,5187,262,2,207
2026-05-14,5247,1770,5187,143,0,142
2026-05-15,5247,1794,5187,217,0,0
2026-05-18,5247,1812,5189,250,0,0
2026-05-19,5247,1828,5185,296,3,129
2026-05-20,5247,1851,5189,253,0,252
2026-05-21,5247,1866,5192,153,0,0
2026-05-22,5247,1871,5191,362,0,0
2026-05-25,5247,1883,5191,297,3,0
2026-05-26,5247,1884,5191,197,2,24
2026-05-27,5247,1891,5190,190,0,190
2026-05-28,5247,1899,5190,264,0,0
2026-05-29,5247,1918,5189,146,2,0
2026-06-01,5247,1918,5191,169,1,16
2026-06-02,5247,1920,5190,203,2,108
2026-06-03,5247,1904,5194,241,1,165
2026-06-04,5247,1881,5194,203,0,0
2026-06-05,5247,1879,5196,134,0,0
2026-06-08,5247,1850,5197,90,1,0
2026-06-09,5247,1817,5196,233,2,120
2026-06-10,5247,1788,5193,132,0,130
2026-06-11,5247,1758,5191,165,0,163
2026-06-12,5247,1741,5192,151,0,149
2026-06-15,5247,1747,5187,316,1,0
2026-06-16,5247,1751,5192,291,4,152
2026-06-17,5247,1750,5188,248,0,245
2026-06-18,5247,1729,5186,222,0,222
2026-06-22,5247,1740,5189,187,1,137
2026-06-23,5247,1742,5191,106,0,106
2026-06-24,5247,1742,5189,195,0,0
2026-06-25,5247,1740,5188,192,3,89
2026-06-26,5247,1737,5189,94,1,72
2026-06-29,5247,1717,5185,136,1,129
2026-06-30,5247,1715,5182,241,0,0
2026-07-01,5247,1720,5185,140,3,0
2026-07-02,5247,1718,5189,97,1,0
2026-07-03,5247,1728,5188,148,1,135
2026-07-06,5247,1718,5189,138,0,0
2026-07-07,5247,1717,5189,121,0,0
2026-07-08,5247,1708,5189,89,0,0
2026-07-09,5247,1703,5189,270,1,0
