date,eligible_count,alpha_pass_independent,entry_pass_independent,regime_pass_independent,rr_pass_independent
2026-01-05,1399,535,861,1399,41
2026-01-06,1426,598,779,1426,46
2026-01-07,1451,541,647,1451,73
2026-01-08,1481,605,643,1481,55
2026-01-09,1512,703,702,1512,87
2026-01-12,1567,789,638,1567,109
2026-01-13,1620,474,570,1620,96
2026-01-14,1693,655,775,1693,64
2026-01-15,1722,585,619,1722,81
2026-01-16,1758,671,681,1758,110
2026-01-19,1793,740,742,1793,86
2026-01-20,1822,564,721,1822,69
2026-01-21,1854,718,828,1854,50
2026-01-22,1871,794,909,1871,65
2026-01-23,1902,1016,1116,1902,73
2026-01-26,1942,647,891,1942,105
2026-01-27,1967,745,993,1967,28
2026-01-28,1993,667,750,1993,77
2026-01-29,2034,537,817,2034,56
2026-01-30,2057,455,808,2057,24
2026-02-02,2075,285,518,2075,81
2026-02-03,2056,666,1229,2056,21
2026-02-04,2042,513,921,2042,55
2026-02-05,2030,341,614,2030,28
2026-02-06,2013,395,788,2013,17
2026-02-09,1974,588,1337,1974,47
2026-02-10,1929,448,862,1929,60
2026-02-11,1866,439,776,1866,54
2026-02-12,1843,571,1069,1843,63
2026-02-13,1805,378,766,1805,48
2026-02-24,1787,591,1127,1787,56
2026-02-25,1771,720,1206,1771,60
2026-02-26,1759,698,1002,1759,66
2026-02-27,1758,768,1022,1758,46
2026-03-02,1753,606,780,1753,62
2026-03-03,1748,331,553,1748,85
2026-03-04,1727,418,558,1727,18
2026-03-05,1711,494,682,1711,35
2026-03-06,1688,506,685,1688,47
2026-03-09,1688,467,702,1688,34
2026-03-10,1680,618,919,1680,39
2026-03-11,1688,555,753,1688,41
2026-03-12,1683,492,653,1683,55
2026-03-13,1693,410,558,1693,60
2026-03-16,1702,412,679,1702,19
2026-03-17,1704,258,432,1704,44
2026-03-18,1703,400,697,1703,14
2026-03-19,1711,248,395,1711,23
2026-03-20,1718,213,432,1718,68
2026-03-23,1731,137,267,0,26
2026-03-24,1728,366,624,1728,5
2026-03-25,1713,372,729,1713,29
2026-03-26,1702,227,334,1702,25
2026-03-27,1691,286,567,1691,15
2026-03-30,1652,271,555,1652,25
2026-03-31,1614,160,295,1614,35
2026-04-01,1597,250,679,1597,11
2026-04-02,1585,187,347,1585,17
2026-04-03,1572,166,305,0,30
2026-04-07,1541,211,437,0,20
2026-04-08,1530,360,1108,1530,30
2026-04-09,1520,269,573,1520,34
2026-04-10,1493,273,728,1493,41
2026-04-13,1494,310,685,1494,26
2026-04-14,1492,332,758,1492,36
2026-04-15,1492,289,551,1492,38
2026-04-16,1505,353,727,1505,27
2026-04-17,1513,366,526,1513,65
2026-04-20,1524,425,604,1524,56
2026-04-21,1509,409,525,1509,40
2026-04-22,1509,484,621,1509,45
2026-04-23,1522,308,558,1522,52
2026-04-24,1525,341,521,1525,29
2026-04-27,1537,383,603,1537,41
2026-04-28,1552,338,496,1552,37
2026-04-29,1566,414,713,1566,28
2026-04-30,1577,383,586,1577,57
2026-05-06,1607,579,906,1607,90
2026-05-07,1637,619,791,1637,91
2026-05-08,1672,522,660,1672,73
2026-05-11,1695,625,724,1695,120
2026-05-12,1722,479,524,1722,74
2026-05-13,1748,523,682,1748,64
2026-05-14,1770,353,462,1770,116
2026-05-15,1794,379,608,1794,47
2026-05-18,1812,414,588,1812,41
2026-05-19,1828,475,687,1828,35
2026-05-20,1851,446,580,1851,87
2026-05-21,1866,248,542,1866,102
2026-05-22,1871,502,778,1871,27
2026-05-25,1883,466,699,1883,84
2026-05-26,1884,342,596,1884,59
2026-05-27,1891,304,540,1891,80
2026-05-28,1899,384,686,1899,32
2026-05-29,1918,216,511,1918,80
2026-06-01,1918,214,557,1918,53
2026-06-02,1920,268,573,1920,20
2026-06-03,1904,297,663,1904,40
2026-06-04,1881,270,549,1881,45
2026-06-05,1879,180,551,1879,38
2026-06-08,1850,117,374,1850,26
2026-06-09,1817,281,684,1817,31
2026-06-10,1788,172,431,1788,50
2026-06-11,1758,204,464,1758,36
2026-06-12,1741,188,613,1741,43
2026-06-15,1747,369,909,1747,27
2026-06-16,1751,370,812,1751,93
2026-06-17,1750,323,678,1750,89
2026-06-18,1729,294,604,1729,90
2026-06-22,1740,270,770,1740,107
2026-06-23,1742,166,470,1742,74
2026-06-24,1742,292,588,1742,31
2026-06-25,1740,282,494,1740,81
2026-06-26,1737,181,329,1737,140
2026-06-29,1717,229,461,1717,51
2026-06-30,1715,354,612,1715,53
2026-07-01,1720,242,572,1720,90
2026-07-02,1718,148,443,1718,61
2026-07-03,1728,196,590,1728,42
2026-07-06,1718,175,498,1718,54
2026-07-07,1717,158,311,1717,29
2026-07-08,1708,108,327,1708,52
2026-07-09,1703,294,699,1703,13
